,handle,text,cleantext
0,1,The question in this election Who can put the plans into action that will make your life better,question election put plans action make life better
1,1,If we stand together theres nothing we cant do Make sure youre ready to vote,stand together theres nothing cant Make sure youre ready vote
2,1,Both candidates were asked about how theyd confront racial injustice Only one had a real answer,candidates asked theyd confront racial injustice one real answer
3,0,Join me for a 3pm rally tomorrow at the MidAmerica Center in Council Bluffs Iowa! Tickets,Join 3pm rally tomorrow MidAmerica Center Council Bluffs Iowa! Tickets
4,1,This election is too important to sit out Go to and make sure youre registered NationalVoterRegistrationDay H,election important sit Go make sure youre registered NationalVoterRegistrationDay H
5,1,When Donald Trump goes lowregister to vote,Donald Trump goes lowregister vote
6,0,Once again we will have a government of by and for the people Join the MOVEMENT today!,government people Join MOVEMENT today!
7,0,Hillary Clintons Campaign Continues To Make False Claims About Foundation Disclosure,Hillary Clintons Campaign Continues Make False Claims Foundation Disclosure
8,0,CNBC Time magazine online polls say Donald Trump won the first presidential debate via WashTimes MAGA,CNBC Time magazine online polls say Donald Trump first presidential debate via WashTimes MAGA
9,1,Donald Trump lied to the American people at least 58 times during the first presidential debate We counted,Donald Trump lied American people least 58 times first presidential debate counted
10,0,Great afternoon in Little Havana with Hispanic community leaders Thank you for your support! ImWithYou,Great afternoon Little Havana Hispanic community leaders Thank support! ImWithYou
11,0,In the last 24 hrs we have raised over 13M from online donations and National Call Day and were still going! Thank you America! MAGA,last 24 hrs raised 13M online donations National Call Day still going! Thank America! MAGA
12,1,She gained about 55 pounds in9 months She was like an eating machine Trump a man who wants to be president,gained 55 pounds in9 months like eating machine Trump man wants president
13,1,Its NationalVoterRegistrationDay Celebrate by registering to vote,NationalVoterRegistrationDay Celebrate registering vote
14,1,I love this country Im proud of this country I want to be a leader who brings people together Hillary LoveTrumpsHate,love country Im proud country want leader brings people together Hillary LoveTrumpsHate
15,1,We dont want to turn against each other We want to work with one another We want to set big goals in this country StrongerTogether,dont want turn want work one another want set big goals country StrongerTogether
16,1,What we hear from my opponent is dangerously incoherent Its unclear what hes saying but words matter Hillary,hear opponent dangerously incoherent unclear hes saying words matter Hillary
17,1,One candidate made it clear he wasnt prepared for last nights debate The other made it clear shes prepared to b,One candidate made clear wasnt prepared last nights debate made clear shes prepared b
18,1,What kind of a person would want to root for 9 million families losing their homes One who should never be president Hillary on Trump,kind person would want root 9 million families losing homes One never president Hillary Trump
19,1,I dont think that any family should have to pay more than 10 of their income on child care Hillary,dont think family pay 10 income child care Hillary
20,1,Im really glad my dad never had a contract with Donald Trump Hillary,Im really glad dad never contract Donald Trump Hillary
21,1,When you work hard you should not be living in poverty,work hard living poverty
22,0,Well now theyre saying that I not only won the NBC Presidential Forum but last night the big debate Nice!,Well theyre saying NBC Presidential Forum last night big debate Nice!
23,1,We may have a recordsetting turnout in this election We could have the biggest turnout weve ever had,may recordsetting turnout election could biggest turnout weve ever
