Time,Tweet By,text,Is_a_Retweet,Orginal Author,Reply to Tweet - Name,Quote Status,Language,Retweet-Count,Favorite-Count,Source -URL
2016-09-28 00:22:34,HillaryClinton,The question in this election Who can put the plans into action that will make your life better ,False,,,False,en,218,651,https://studio.twitter.com
2016-09-27 23:08:41,HillaryClinton,"If we stand together theres nothing we cant do 

Make sure youre ready to vote  ",False,,,False,en,916,2542,https://studio.twitter.com
2016-09-27 22:30:27,HillaryClinton,Both candidates were asked about how theyd confront racial injustice Only one had a real answer ,False,,,False,en,859,2882,https://about.twitter.com/products/tweetdeck
2016-09-27 22:13:24,realDonaldTrump,Join me for a 3pm rally  tomorrow at the MidAmerica Center in Council Bluffs Iowa! Tickets ,False,,,False,en,2181,6172,http://twitter.com/download/iphone
2016-09-27 21:35:28,HillaryClinton,This election is too important to sit out Go to  and make sure youre registered NationalVoterRegistrationDay H,False,,,False,en,1303,2849,https://about.twitter.com/products/tweetdeck
2016-09-27 21:25:31,HillaryClinton,When Donald Trump goes lowregister to vote  ,False,,,False,en,1833,4954,https://about.twitter.com/products/tweetdeck
2016-09-27 21:08:22,realDonaldTrump,Once again we will have a government of by and for the people Join the MOVEMENT today!  ,False,,,False,en,4132,11239,http://twitter.com/download/iphone
2016-09-27 20:14:33,realDonaldTrump,"Hillary Clintons Campaign Continues To Make False Claims About Foundation Disclosure 
",False,,,False,en,3833,9840,http://twitter.com/download/iphone
2016-09-27 20:06:25,realDonaldTrump,"CNBC Time magazine online polls say Donald Trump won the first presidential debate via WashTimes MAGA
",False,,,False,en,4236,10948,http://twitter.com/download/iphone
2016-09-27 19:59:28,HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate We counted ,False,,,False,en,5379,8917,https://about.twitter.com/products/tweetdeck
2016-09-27 19:59:04,realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders Thank you for your support! ImWithYou ,False,,,False,en,4878,14110,http://twitter.com/download/iphone
2016-09-27 19:37:22,realDonaldTrump,In the last 24 hrs we have raised over 13M from online donations and National Call Day and were still going! Thank you America! MAGA,False,,,False,en,6939,23330,http://twitter.com/download/iphone
2016-09-27 19:31:01,HillaryClinton,She gained about 55 pounds in9 months She was like an eating machine Trump a man who wants to be president ,False,,,False,en,2058,3714,https://about.twitter.com/products/tweetdeck
2016-09-27 18:45:39,HillaryClinton,Its NationalVoterRegistrationDay Celebrate by registering to vote   ,False,,,False,en,1792,3500,https://about.twitter.com/products/tweetdeck
2016-09-27 18:12:06,HillaryClinton,"I love this country
Im proud of this country
I want to be a leader who brings people together
Hillary LoveTrumpsHate",False,,HillaryClinton,False,en,1437,5053,https://about.twitter.com/products/tweetdeck
2016-09-27 18:10:07,HillaryClinton,"We dont want to turn against each other
We want to work with one another
We want to set big goals in this country
StrongerTogether",False,,HillaryClinton,False,en,976,3313,https://about.twitter.com/products/tweetdeck
2016-09-27 18:06:28,HillaryClinton,What we hear from my opponent is dangerously incoherent Its unclear what hes saying but words matter Hillary,False,,HillaryClinton,False,en,957,2968,https://about.twitter.com/products/tweetdeck
2016-09-27 18:05:27,HillaryClinton,One candidate made it clear he wasnt prepared for last nights debate The other made it clear shes prepared to b ,False,,,False,en,3336,9961,https://studio.twitter.com
2016-09-27 18:02:54,HillaryClinton,"What kind of a person would want to root for 9 million families losing their homes

One who should never be president Hillary on Trump",False,,HillaryClinton,False,en,1127,3216,https://about.twitter.com/products/tweetdeck
2016-09-27 17:58:15,HillaryClinton,I dont think that any family should have to pay more than 10 of their income on child care Hillary ,False,,HillaryClinton,False,en,586,1681,https://about.twitter.com/products/tweetdeck
2016-09-27 17:55:26,HillaryClinton,Im really glad my dad never had a contract with Donald Trump Hillary ,False,,HillaryClinton,False,en,1580,2967,https://about.twitter.com/products/tweetdeck
2016-09-27 17:52:47,HillaryClinton,When you work hard you should not be living in poverty ,False,,HillaryClinton,False,en,557,1633,https://about.twitter.com/products/tweetdeck
2016-09-27 17:47:36,realDonaldTrump,Well now theyre saying that I not only won the NBC Presidential Forum but last night the big debate Nice!,False,,,False,en,8534,28578,http://twitter.com/download/android
2016-09-27 17:44:07,HillaryClinton,"We may have a recordsetting turnout in this election

We could have the biggest turnout weve ever had ",False,,HillaryClinton,False,en,556,1546,https://about.twitter.com/products/tweetdeck
2016-09-27 17:40:05,HillaryClinton,You can go to  to make sure you are registered And I hope you all will Hillary NationalVoterRegistrationDay,False,,HillaryClinton,False,en,661,1326,https://about.twitter.com/products/tweetdeck
2016-09-27 17:35:08,HillaryClinton,Join Hillary live in NC for her first rally since winning last nights debate   NationalVoterRegistrationDay,False,,,False,en,1115,3941,https://about.twitter.com/products/tweetdeck
2016-09-27 17:07:22,HillaryClinton,"Donald just criticized me for preparing for this debate And you know what else I prepared for

I prepared to be ",False,,,False,en,6185,16805,https://studio.twitter.com
2016-09-27 16:58:58,realDonaldTrump,"Thank you for your endorsement GovernorSununu MAGA 
",False,,,False,en,4191,13152,http://twitter.com/download/iphone
